id,name,structure,city,postal,web,priority,logo_url
12u,1001 Buros,Société,Crémieu,38460,https://1001buros.fr/,1,
10i,A place like you,,Artigues-près-Bordeaux,33370,www.aplacelikeyou.fr,1,
zu,A.C.S.,Société,Mâcon,71000,http://www.acs-ingenierie.fr/,1,
na,ACTIS,Société,Courlandon,51170,https://www.actis-demolition-reims.fr/,1,
ne,AD FINE,Société,Millau,12100,https://www.adfine.fr/,1,
nf,AD FINE,Société,Chambéry,73000,https://www.adfine.fr/,1,
ng,AD FINE,Société,Nantes,44000,https://www.adfine.fr/,1,
16p,ADALEA - Pole Reemploi Solidaire,Structure ESS (annuaire CRESS Bretagne 2024),Saint-Brieuc,22000,https://www.adalea.fr,1,
nc,ADEME,Autre,Montrouge,92120,https://www.ademe.fr/,1,
nh,AGI2D,Société,Pantin,93500,http://www.agi2d.fr/,1,
ni,AGI2D,Société,Vénissieux,69200,http://www.agi2d.fr/,1,
nj,AGI2D,Société,Douai,59500,http://www.agi2d.fr/,1,
nk,AGI2D,Société,Nantes,44100,http://www.agi2d.fr/,1,
nl,AGI2D,Société,Bruges,33520,http://www.agi2d.fr/,1,
nn,AI Environnement,Société,Fontenay-sous-Bois,94120,https://faceagroup.com/ai-environnement-formation,1,
nu,Allibert,Société,Valaurie,26230,http://www.allibert-materiauxanciens.fr/fr/,1,
11A,ALOEN,Association,Lorient,56100,https://aloen.fr/2023/02/09/reemploi-et-economie-de-la-fonctionnalite/,1,
xk,Alternatinnov,Société,Maisons-du-Bois-Lièvremont,25650,http://alternatinnov.fr/,1,
10k,Anaïs Mambré Décoration,Société,Besançon,25000,www.anaismambre-decoration.fr,1,
nz,Angelo Di Marco,Société,Villiers-en-Désœuvre,27640,http://www.angelodimarco.com/,1,
o2,Antik Matériaux,Société,Surville,14130,https://www.antikmateriaux.eu/,1,
o3,Antiques Deco,Société,Roubaix,59100,http://antiquesdeco.eu/,1,
o5,Antiquités Thierry May,Société,Fontainebleau,77300,http://thierrymay.com/,1,
oC,Arca-Chudeau,Société,Avrillé,49240,https://www.arca-chudeau.fr/,1,
oF,Archipel Zéro,Société,Paris,75012,http://www.archipelzero.fr/,1,
oG,Archipel Zéro,Société,Le Havre,76600,http://www.archipelzero.fr/,1,
y4,ARP ASTRANCE,Société,,75008,https://arp-astrance.com/,1,
oO,Arts et Techniques,Société,Malicorne-sur-Sarthe,72270,https://www.arts-techniques.fr/,1,
12b,Association TERRE Communauté Emmaüs,Association,Chevaigné,35250,https://www.associationterre.com/,1,
oV,Atelier Ausa,Société,Paris,75000,https://atelierausa.fr/,1,
oW,Atelier Ausa,Société,Paris,75000,https://atelierausa.fr/,1,
ob,Atelier de Saint-Cannat,Société,Aix-en-Provence,13540,https://materiaux-anciens-atelier-saint-cannat.fr/,1,
od,Atelier Fer Emeraude,Société,Bordeaux,33000,http://www.ferronnerie-ferem.info/,1,
oi,Atelier moins mais mieux,Coopérative (CAE),Carentoir,56910,http://atelier-moinsmaismieux.fr/,1,
xI,Atelier R-ARE,Association,Romainville,93230,https://www.construire-solidaire.fr/portfolio-item/atelier-r-are/,1,
ol,Atelier Tac,Société,Orléans,45000,http://ateliertac.fr/,1,
oo,Au bon vieux temps,Société,Belvès,24170,http://www.aubonvieuxtemps24.fr/,1,
oq,Authentic,Société,Salernes,83690,http://www.authentic.fr/,1,
