source	name_guess	email	tel	cp	ville	web
CCI-PDL-2023		accueil@etic53.fr	02 43 30 45 00			odea49.fr
ADEME-Centre		accueil@fjfenergies.fr	02 54 89 68 08	41240	Beauce la Romaine	tri-n-collect.fr
CCI-PDL-2023		achats@matmond.eu	02 51 12 07 35			cycle-up.fr
ADEME-Centre		admin@valessens.fr	02.47.75.25.34			
CCI-PDL-2023	RENOVEMBAL	adv@renovembal.fr	02 43 45 01 10			matmond.eu
CCI-PDL-2023	BESOIN :	ams-49@orange.fr	02 49 49 26 27			aer-recyclage.com
CERC-NA-2025		anais@idre-dc.org				ffbatiment.fr
CCI-PDL-2023		angelique.barre@lemans.cci.fr	02 40 44 60 00			cci.fr
CCI-PDL-2023		angers@mediaclinic.fr	02 41 60 58 26	49100	Angers

Smartphones	
CERC-NA-2025		animation@3ar-na.fr				na.fr
CCI-PDL-2023		anne-laure.paty@cycle-up.fr	06 65 43 95 60			lilokawa.com
CERC-NA-2025		antoine.bonsch@ademe.fr				na.fr
ADEME-Centre		architectes@iscee-studio.fr	02.59.16.31.64			emysconception.com
Bretagne-ESS		ateliers@adalea.fr	02.57.18.03.50			
CCI-PDL-2023		aurore.godard@envie.org	02 43 75 78 75			planetoffice.fr
CERC-NA-2025	SAMES (64 520)	baticirculaire@gmail.com				
CCI-PDL-2023		bbrochard@adb-emmaus.com	05 49 81 09 72	79140	Le Pin
invendus	ateliers-du-bocage.fr
ADEME-Centre		bcellier@club-internet.fr	01.53.38.50.76			bellastock.com
CERC-NA-2025		benoit.planchard@ecominero.fr				ecomaison.com
Bretagne-ESS		bgandon@cress-bretagne.org	07 48 72 14 24			
ADEME-Centre		biry.sylla@eccodec.com	02.38.55.28.95			
CCI-PDL-2023		boutique.materiel@adb-emmaus.com	05 49 81 09 72			solidatech.fr
CCI-PDL-2023		c.bechu@lilokawa.com	07 57 43 46 75			largo.fr
ADEME-Centre		cap.recyclage37@chaigny.fr	02.43.93.03.46			dorison.fr
ADEME-Centre		cap.recyclage@chaigny.fr	02.43.93.03.46			dorison.fr
