id,cp,ville
fvm_0004,49430,DURTAL
fvm_0005,49220,LE LION D ANGERS
fvm_0015,49250,SEGRÉ EN ANJOU
fvm_0022,44702,Orvault
fvm_0043,,
fvm_0047,71100,
fvm_0048,59180,CAPPELLE LA GRANDE
fvm_0058,27930,LA CHAPELLE
fvm_0081,29570,Camaret
fvm_0087,67880,Krautergersheim
fvm_0094,28260,
fvm_0153,30350,ST BENEZET
fvm_0157,30290,LA ROUVIERE
fvm_0219,77320,Jouy S/Morin
fvm_0247,12300,La Primaube
fvm_0258,61104,FLERS
fvm_0269,57245,PELTRE
fvm_0270,57070,Metz
fvm_0272,57130,VERNEVILLE
fvm_0292,13016,Marseille
fvm_0296,30000,NÎMES
fvm_0299,13650,Meyrargues
fvm_0303,54320,MAXEVILLE
fvm_0320,34070,MONTPELLIER
fvm_0323,13920,Aix
fvm_0326,71500,Louhans
fvm_0348,12000,Villefranche-de-Rouergue
fvm_0352,12170,Requiste
fvm_0373,14000,BAYEUX
fvm_0380,30300,TRESQUES
fvm_0382,30123,LE VIGAN CEDEX
fvm_0384,34534,BEZIERS CEDEX
fvm_0386,34700,LODEVE
fvm_0398,50000,Saint-Lô
fvm_0413,44805,St Herblain Cedex
fvm_0427,80600,DOULLENS
fvm_0437,59223,RONCQ
fvm_0469,29820,Guilers
fvm_0484,67026,Strasbourg
fvm_0491,33450,SAINT-LOUBES
fvm_0493,69007,Lyon
fvm_0504,35470,PLECHATEL
fvm_0518,55230,SPINCOURT
fvm_0546,30100,ALES
fvm_0565,44152,Ancenis
fvm_0575,67026,STRASBOURG
fvm_0603,49340,TREMENTINES
fvm_0604,38760,Varces
fvm_0605,31500,Bruguières
fvm_0611,39570,Lons-le-Saunier
fvm_0630,69630,Vénissieux
fvm_0631,43000,POLIGNAC
fvm_0649,67026,STRASBOURG
fvm_0661,49340,TREMENTINES
fvm_0664,31500,Bruguières
fvm_0674,39570,Lons-le-Saunier
fvm_0683,35200,Mordelles
fvm_0696,69630,Vénissieux
fvm_0700,43000,POLIGNAC
