id,rue,cp,ville,adresse_full,name,raison_sociale,telephone,accueil_1,accueil_2,eco_orgs,folder_type,result_label,result_score,result_type,latitude,longitude
fvm_0000,impasse du Château d'Eau,49610,JUIGNE SUR LOIRE,impasse du Château d'Eau - 49610 JUIGNE SUR LOIRE,Déchèterie Juigné sur Loire,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,Impasse du Château d'Eau 49610 Les Garennes sur Loire,0.9506418181818181,street,47.404055,-0.506978
fvm_0001,Chemin des Cuetteries,49125,TIERCE,Chemin des Cuetteries - 49125 TIERCE,Déchèterie Tiercé,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,Route des Cuetteries 49125 Tiercé,0.63877,street,47.62147,-0.449993
fvm_0002,Les Grois,49330,CHATEAUNEUF SUR SARTHE,Les Grois - 49330 CHATEAUNEUF SUR SARTHE,Déchèterie Chateauneuf sur Sarthe,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,"les Groies, Châteauneuf-sur-Sarthe 49330 Les Hauts-d'Anjou",0.8700280991735536,street,47.691429,-0.490575
fvm_0003,Route de Marcé,49140,SEICHES SUR LE LOIR,Route de Marcé - 49140 SEICHES SUR LE LOIR,Déchèterie Seiches sur le Loir,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,Route de Marcé 49140 Seiches-sur-le-Loir,0.9540909090909091,street,47.578853,-0.34096
fvm_0004,Les Malicornières,49430,DURTAL,Les Malicornières - 49430 DURTAL,Déchèterie Durtal,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,Chemin des Rogerelles 49430 Durtal,0.3633594103194103,street,47.674299,-0.216782
fvm_0005,ZA La Sablonnière - Route de Montreuil sur Maine,49220,LE LION D ANGERS,ZA La Sablonnière - Route de Montreuil sur Maine - 49220 LE LION D ANGERS,Déchèterie Lion d'Angers,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire,,,,,
fvm_0006,Rue Saint Jouin,79700,Mauléon,Rue Saint Jouin - 79700 - Mauléon,Déchetterie,AGGLO 2B,05 49 81 83 39,Professionnels,Particuliers,,Point d'apport volontaire,Rue Saint-Jouin 79700 Mauléon,0.9627645454545453,street,46.926839,-0.757025
fvm_0007,23 Rue Lavoisier,79300,Bressuire,23 Rue Lavoisier - 79300 - Bressuire,Déchetterie,AGGLO 2B,05 49 81 73 95,Professionnels,Particuliers,,Point d'apport volontaire,23 Rue Lavoisier 79300 Bressuire,0.9655199999999998,housenumber,46.850784,-0.460757
fvm_0008,Longchamp,79140,Cerizay,Longchamp - 79140 - Cerizay,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire,Rue de Longchamp 79140 Cerizay,0.681402885375494,street,46.824983,-0.677787
fvm_0009,Maison Neuve,79320,Moncoutant,Maison Neuve - 79320 - Moncoutant,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire,la Maison Neuve (Moncoutant) 79320 Moncoutant-sur-Sèvre,0.8369827272727272,street,46.717788,-0.58079
fvm_0010,Forges,79250,Nueil les Aubiers,Forges - 79250 - Nueil les Aubiers,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire,Forges 79250 Nueil-les-Aubiers,0.9463836363636362,locality,46.943092,-0.569206
fvm_0011,Zone artisanale des Giraumeries,53940,SAINT-BERTHEVIN,Zone artisanale des Giraumeries - 53940 SAINT-BERTHEVIN,Alternatri 53,Alternatri 53,07 69 96 78 39,Professionnels,,Valobat,Point d'apport volontaire,Rue des Giraumeries 53940 Saint-Berthevin,0.651600606060606,street,48.053815,-0.800587
fvm_0012,"Route d'Avignon, Euze",30200,BAGNOLS-SUR-CEZE,"Route d'Avignon, Euze, 30200 BAGNOLS-SUR-CEZE",ALU CARMIGANAIS BAGNOLES SUR CEZE,ALU CARMIGANAIS,06 85 74 04 45,Professionnels,Particuliers,Valobat,Point d'apport volontaire,Route d'Avignon 30200 Bagnols-sur-Cèze,0.8370319191919192,street,44.155153,4.639994
fvm_0013,51 rue de la Paperie Saint Barthélémy d'Anjou,49124,SAINT BARTHELEMY D ANJOU,51 rue de la Paperie Saint Barthélémy d'Anjou - 49124 SAINT BARTHELEMY D ANJOU,Déchèterie Villechien,ANGERS LOIRE METROPOLE,,,Particuliers,,Point d'apport volontaire,Rue de la Paperie 49124 Saint-Barthélemy-d'Anjou,0.596040816864295,street,47.4654,-0.509707
fvm_0014,Rue Paul Héroult,49460,MONTREUIL JUIGNE,Rue Paul Héroult - 49460 MONTREUIL JUIGNE,Déchèterie Haut- Coudray,ANGERS LOIRE METROPOLE,,,Particuliers,,Point d'apport volontaire,Rue Paul Héroult 49460 Montreuil-Juigné,0.9602990909090909,street,47.532623,-0.625455
