id,rue,cp,ville,adresse_full,name,raison_sociale,telephone,accueil_1,accueil_2,eco_orgs,folder_type
fvm_0000,impasse du Château d'Eau,49610,JUIGNE SUR LOIRE,impasse du Château d'Eau - 49610 JUIGNE SUR LOIRE,Déchèterie Juigné sur Loire,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0001,Chemin des Cuetteries,49125,TIERCE,Chemin des Cuetteries - 49125 TIERCE,Déchèterie Tiercé,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0002,Les Grois,49330,CHATEAUNEUF SUR SARTHE,Les Grois - 49330 CHATEAUNEUF SUR SARTHE,Déchèterie Chateauneuf sur Sarthe,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0003,Route de Marcé,49140,SEICHES SUR LE LOIR,Route de Marcé - 49140 SEICHES SUR LE LOIR,Déchèterie Seiches sur le Loir,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0004,Les Malicornières,49430,DURTAL,Les Malicornières - 49430 DURTAL,Déchèterie Durtal,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0005,ZA La Sablonnière - Route de Montreuil sur Maine,49220,LE LION D ANGERS,ZA La Sablonnière - Route de Montreuil sur Maine - 49220 LE LION D ANGERS,Déchèterie Lion d'Angers,3R D'ANJOU,,,Particuliers,,Point d'apport volontaire
fvm_0006,Rue Saint Jouin,79700,Mauléon,Rue Saint Jouin - 79700 - Mauléon,Déchetterie,AGGLO 2B,05 49 81 83 39,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0007,23 Rue Lavoisier,79300,Bressuire,23 Rue Lavoisier - 79300 - Bressuire,Déchetterie,AGGLO 2B,05 49 81 73 95,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0008,Longchamp,79140,Cerizay,Longchamp - 79140 - Cerizay,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0009,Maison Neuve,79320,Moncoutant,Maison Neuve - 79320 - Moncoutant,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0010,Forges,79250,Nueil les Aubiers,Forges - 79250 - Nueil les Aubiers,Déchetterie,AGGLO 2B,05 49 81 19 00,Professionnels,Particuliers,,Point d'apport volontaire
fvm_0011,Zone artisanale des Giraumeries,53940,SAINT-BERTHEVIN,Zone artisanale des Giraumeries - 53940 SAINT-BERTHEVIN,Alternatri 53,Alternatri 53,07 69 96 78 39,Professionnels,,Valobat,Point d'apport volontaire
fvm_0012,"Route d'Avignon, Euze",30200,BAGNOLS-SUR-CEZE,"Route d'Avignon, Euze, 30200 BAGNOLS-SUR-CEZE",ALU CARMIGANAIS BAGNOLES SUR CEZE,ALU CARMIGANAIS,06 85 74 04 45,Professionnels,Particuliers,Valobat,Point d'apport volontaire
